from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022003780722002,9022003780722002,1,,33010000134161185,33010000126247350
9022003780722002,9022003780722002,1,,33010000134161236,33010000126678680
9022003780722002,9022003780722002,1,,33010000134161797,33010000129496871
9022003780722002,9022003780722002,1,,33010000134163167,33010000126247464
9022003780722002,9022003780722002,1,,33010000134160471,33010000126678737
9022003780722002,9022003780722002,1,,33010000134161542,33010000126678794
9022003780722002,9022003780722002,1,,33010000134159895,33010000126678391
9022003780722002,9022003780722002,1,,33010000134159979,33010000126678256
9022003780722002,9022003780722002,1,,33010000134159979,33010000126678331
9022003780722002,9022003780722002,1,,33010000134160420,33010000126678619
9022003780722002,9022003780722002,1,,33010000134160828,33010000126678505
9022003780722002,9022003780722002,1,,33010000134160981,33010000126678562
9022003780722002,9022003780722002,1,,33010000134161593,33010000126678680
9022003780722002,9022003780722002,1,,33010000134162681,33010000129496929
9022003780722002,9022003780722002,1,,33010000134163218,33010000126247464
9022003780722002,9022003780722002,1,,33010000134162810,33010000126247350
9022003780722002,9022003780722002,1,,33010000134162963,33010000131362970
9022003780050001,9022003780050001,1,,33010000131501683,33010000131486121
9022003780050001,9022003780050002,1,,33010000131501683,33010000131490553
9022003780233002,9022003780233001,1,,33010000131501683,33010000131446691
9022003780050001,9022003780050002,1,,33010000131501725,33010000131490801
9022003780050001,9022003780050001,1,,33010000131501725,33010000131487035
9022003780050001,9022003780050001,1,,33010000131501725,33010000131485169
9022003780233002,9022003780233001,1,,33010000131501725,33010000131446523
9022003780233002,9022003780233001,1,,33010000131501767,33010000131446579
9022003780050001,9022003780050002,1,,33010000131501767,33010000131489685
9022003780050001,9022003780050001,1,,33010000131501767,33010000131485283
9022003780233002,9022003780233001,1,,33010000131501893,33010000131445828
9022003780050001,9022003780050001,1,,33010000131501893,33010000131487263
9022003780050001,9022003780050002,1,,33010000131501893,33010000131490057
9022003780050001,9022003780050001,1,,33010000131501893,33010000131485625
9022003780050001,9022003780050001,1,,33010000131501935,33010000131486178
9022003780050001,9022003780050002,1,,33010000131501935,33010000131489499
9022003780233002,9022003780233001,1,,33010000131501935,33010000131446222
9022003780050001,9022003780050001,1,,33010000131502187,33010000131486805
9022003780050001,9022003780050001,1,,33010000131502277,33010000131487377
9022003780233002,9022003780233001,1,,33010000131502277,33010000131445884
9022003780233002,9022003780233001,1,,33010000131501389,33010000131446293
9022003780050001,9022003780050002,1,,33010000131501389,33010000131490181
9022003780050001,9022003780050001,1,,33010000131501389,33010000131485682
9022003780050001,9022003780050001,1,,33010000131501977,33010000131486292
9022003780050001,9022003780050002,1,,33010000131501977,33010000131487837
9022003780233002,9022003780233001,1,,33010000131501977,33010000131445940
9022003780233002,9022003780233001,1,,33010000131501473,33010000131446972
9022003780050001,9022003780050001,1,,33010000131501473,33010000131484941
9022003780050001,9022003780050002,1,,33010000131501473,33010000131489375
9022003780233002,9022003780233001,1,,33010000131501599,33010000131446352
9022003780050001,9022003780050002,1,,33010000131501599,33010000131490429
9022003780050001,9022003780050001,1,,33010000131501599,33010000131485796
9022003780233002,9022003780233001,1,,33010000131501641,33010000131446411
9022003780050001,9022003780050001,1,,33010000131501641,33010000131485055
9022003780050001,9022003780050002,1,,33010000131501641,33010000131490305
9022003780050001,9022003780050001,1,,33010000131501809,33010000131487149
9022003780050001,9022003780050002,1,,33010000131501809,33010000131489809
9022003780233002,9022003780233001,1,,33010000131501809,33010000131446635
9022003780050001,9022003780050001,1,,33010000131501809,33010000131485397
9022003780050001,9022003780050001,1,,33010000131501851,33010000131485511
9022003780233002,9022003780233001,1,,33010000131501851,33010000131445772
9022003780050001,9022003780050002,1,,33010000131501851,33010000131489933
9022003780050001,9022003780050001,1,,33010000131502019,33010000131486406
9022003780050001,9022003780050002,1,,33010000131502019,33010000131487961
9022003780233002,9022003780233001,1,,33010000131502019,33010000131445996
9022003780050001,9022003780050001,1,,33010000131502229,33010000131486921
9022003780233002,9022003780233001,1,,33010000131501431,33010000131445884
9022003780050001,9022003780050002,1,,33010000131501431,33010000131489561
9022003780050001,9022003780050001,1,,33010000131501431,33010000131484827
9022003780050001,9022003780050002,1,,33010000131501515,33010000131489437
9022003780050001,9022003780050001,1,,33010000131501515,33010000131484998
9022003780050001,9022003780050002,1,,33010000131501557,33010000131490677
9022003780050001,9022003780050001,1,,33010000131501557,33010000131485893
9022003780233002,9022003780233001,1,,33010000131501557,33010000131446467
9022003780050001,9022003780050001,1,,33010000131502061,33010000131486520
9022003780050001,9022003780050002,1,,33010000131502061,33010000131488085
9022003780233002,9022003780233001,1,,33010000131502061,33010000131446052
9022003780050001,9022003780050002,1,,33010000131502103,33010000131488209
9022003780233002,9022003780233001,1,,33010000131502103,33010000131446108
9022003780050001,9022003780050001,1,,33010000131502103,33010000131486634
9022003780050001,9022003780050001,1,,33010000131502145,33010000131486748
9022003780233002,9022003780233001,1,,33010000131502145,33010000131446164
9022003730000003,9022003730000002,1,,33010000131484770,33010000131339305
9022003780050001,9022003780050001,1,,33010000131485055,33010000131499778
9022003780050001,9022003780050001,1,,33010000131485397,33010000131499997
9022003730000003,9022003730000002,1,,33010000131485625,33010000131339107
9022003780050001,9022003780050001,1,,33010000131485625,33010000131500143
9022003730000003,9022003730000002,1,,33010000131485893,33010000131338513
9022003780050001,9022003780050001,1,,33010000131486634,33010000131501084
9022003780050001,9022003780050001,1,,33010000131487263,33010000131500143
9022003730000003,9022003730000002,1,,33010000131487602,33010000131339173
9022003780050001,9022003780050001,1,,33010000131484827,33010000131499632
9022003780050001,9022003780050001,1,,33010000131484941,33010000131499705
9022003780050001,9022003780050001,1,,33010000131485169,33010000131499851
9022003780050001,9022003780050001,1,,33010000131485511,33010000131500070
9022003730000003,9022003730000002,1,,33010000131485682,33010000131339239
9022003780050001,9022003780050001,1,,33010000131485682,33010000131499559
9022003780050001,9022003780050001,1,,33010000131486292,33010000131500865
9022003780050001,9022003780050001,1,,33010000131486406,33010000131500938
9022003780050001,9022003780050001,1,,33010000131486406,33010000131500368
9022003780050001,9022003780050001,1,,33010000131486805,33010000131501230
9022003780050001,9022003780050001,1,,33010000131487035,33010000131499851
9022003780050001,9022003780050001,1,,33010000131487149,33010000131499997
9022003780050001,9022003780050001,1,,33010000131487377,33010000131500222
9022003780050001,9022003780050001,1,,33010000131484998,33010000131499486
9022003730000003,9022003730000002,1,,33010000131485568,33010000131339041
9022003730000003,9022003730000002,1,,33010000131485950,33010000131338579
9022003780050001,9022003780050001,1,,33010000131486748,33010000131501157
9022003780050001,9022003780050001,1,,33010000131485283,33010000131499924
9022003730000003,9022003730000002,1,,33010000131485796,33010000131338645
9022003780050001,9022003780050001,1,,33010000131485796,33010000131500453
9022003780050001,9022003780050001,1,,33010000131486178,33010000131500792
9022003780050001,9022003780050001,1,,33010000131486178,33010000131500295
9022003780050001,9022003780050001,1,,33010000131486520,33010000131501011
9022003780050001,9022003780050001,1,,33010000131486921,33010000131501305
9022003780050002,9022003780050001,1,,33010000131489499,33010000131500792
9022003780050002,9022003780050001,1,,33010000131488085,33010000131501011
9022003780050002,9022003780050001,1,,33010000131489561,33010000131499632
9022003780050002,9022003780050001,1,,33010000131489809,33010000131499997
9022003780050002,9022003780050001,1,,33010000131488209,33010000131501084
9022003780050002,9022003780050001,1,,33010000131489437,33010000131499486
9022003780050002,9022003780050001,1,,33010000131489685,33010000131499924
9022003780050002,9022003780050001,1,,33010000131489933,33010000131500070
9022003780050002,9022003780050001,1,,33010000131490305,33010000131499778
9022003780050002,9022003780050001,1,,33010000131490429,33010000131500453
9022003780050002,9022003780050001,1,,33010000131487837,33010000131500865
9022003780050002,9022003780050001,1,,33010000131487961,33010000131500938
9022003780050002,9022003780050001,1,,33010000131489375,33010000131499705
9022003780050002,9022003780050001,1,,33010000131490057,33010000131500143
9022003780050002,9022003780050001,1,,33010000131490181,33010000131499559
9022003780050002,9022003780050001,1,,33010000131490801,33010000131499851
9022003700302001,9022003700302002,1,,33010000134152687,33010000131478010
9022003700302001,9022003700302002,1,,33010000134153387,33010000126791880
9022003700302001,9022003700302002,1,,33010000134154004,33010000131478086
9022003700302001,9022003700302002,1,,33010000134152740,33010000131478010
9022003700302001,9022003700302002,1,,33010000134152992,33010000131478086
9022003700302001,9022003700302002,1,,33010000134153341,33010000126792129
9022003700302001,9022003700302002,1,,33010000134152815,33010000131478045
9022003700302001,9022003700302002,1,,33010000134152930,33010000126791917
9022003700302001,9022003700302002,1,,33010000134153059,33010000131477966
9022003700302001,9022003700302002,1,,33010000134153157,33010000128598482
9022003700302001,9022003700302002,1,,33010000134153203,33010000126792197
9022003700302001,9022003700302002,1,,33010000131477746,33010000134151280
9022003700302001,9022003700302002,1,,33010000131477777,33010000134151327
9022003700302001,9022003700302002,1,,33010000131477814,33010000134152026
9022003700302001,9022003700302002,1,,33010000131477876,33010000134151567
9022003700302001,9022003700302002,1,,33010000131477715,33010000134151928
9022003700302001,9022003700302002,1,,33010000131477845,33010000134152075
9022003780367001,9022003780367001,1,,33010000131471586,33010000133241926
9022003780367001,9022003780367001,1,,33010000131471732,33010000133245508
9022003780367001,9022003780367001,1,,33010000131471860,33010000133240366
9022003780367001,9022003780367001,1,,33010000131471988,33010000133242446
9022003780367001,9022003780367001,1,,33010000131472186,33010000133247458
9022003780367001,9022003780367001,1,,33010000131471506,33010000133241146
9022003780367001,9022003780367001,1,,33010000131471796,33010000133247978
9022003780367001,9022003780367001,1,,33010000131472052,33010000133239050
9022003780367001,9022003780367001,1,,33010000131472250,33010000133247718
9022003780367001,9022003780367001,1,,33010000131472402,33010000133246678
9022003780367001,9022003780367001,1,,33010000131472474,33010000133237750
9022003780367001,9022003780367001,1,,33010000131472610,33010000133234137
9022003780367001,9022003780367001,1,,33010000131471924,33010000133241666
9022003780367001,9022003780367001,1,,33010000131472540,33010000133236710
9022003780367001,9022003780367001,1,,33010000131471668,33010000133241926
9022003780367001,9022003780367001,1,,33010000131472118,33010000133241666
9022003780367001,9022003780367001,1,,33010000131472314,33010000133246678
9022003780021001,9022003780021001,1,,33010000131470908,33010000133192195
9022003780021001,9022003780021001,1,,33010000134148877,33010000133191692
9022003780021001,9022003780021001,1,,33010000134148877,33010000133192068
9022003780021001,9022003780021001,1,,33010000134148822,33010000133192411
9022003780107001,9022003780107001,1,,33010000131469778,33010000131465572
9022003780107001,9022003780107001,1,,33010000131469822,33010000131465686
9022003780107001,9022003780107001,1,,33010000131469867,33010000131465610
9022003780107001,9022003780107001,1,,33010000131469888,33010000131465382
9022003780107001,9022003780107002,1,,33010000131466875,33010000131264981
9022003780107001,9022003780107002,1,,33010000131467841,33010000131462121
9022003780107001,9022003780107002,1,,33010000131467899,33010000131470259
9022003780107001,9022003780107002,1,,33010000131466933,33010000131461914
9022003780107001,9022003780107002,1,,33010000131466933,33010000131470406
9022003780107001,9022003780107002,1,,33010000131467957,33010000131470102
9022003780107002,9022003780107001,1,,33010000131461479,33010000131465990
9022003780107002,9022003780107001,1,,33010000131461652,33010000131465572
9022003780107002,9022003780107001,1,,33010000131461592,33010000131465610
9022003780107002,9022003780107001,1,,33010000131461725,33010000131465534
9022003780028002,9022003780028001,1,,33010000127555266,33010000133192068
9022003780869001,9022003780869001,1,,33010000127474506,33010000129815438
9022003780376002,9022003780376002,1,,33010000131458464,33010000126779368
9022003780376001,9022003780376001,1,,33010000115207918,33010000131657410
9022003730000004,9022003730000002,1,,33010000131452445,33010000131339107
9022003730000004,9022003730000002,1,,33010000131452571,33010000131339239
9022003730000004,9022003730000002,1,,33010000131452634,33010000131339305
9022003730000004,9022003730000002,1,,33010000131452382,33010000131339041
9022003730000004,9022003730000002,1,,33010000131452508,33010000131339173
9022003730000003,9022003730000002,1,,33010000131450852,33010000126140690
9022003780233001,9022003780233001,1,,33010000131444795,33010000131501230
9022003780233001,9022003780233001,1,,33010000131444961,33010000131500646
9022003780233001,9022003780233001,1,,33010000131445120,33010000131499851
9022003780233001,9022003780233001,1,,33010000131445173,33010000131499924
9022003780233001,9022003780233001,1,,33010000131445491,33010000131500938
9022003780233001,9022003780233001,1,,33010000131445544,33010000131501011
9022003780233001,9022003780233001,1,,33010000131445597,33010000131501084
9022003780233001,9022003780233001,1,,33010000131445067,33010000131499778
9022003780233001,9022003780233001,1,,33010000131445385,33010000131500792
9022003780233001,9022003780233001,1,,33010000131445707,33010000131500143
9022003780233001,9022003780233001,1,,33010000131444476,33010000131500453
9022003780233001,9022003780233001,1,,33010000131444908,33010000131500143
9022003780233001,9022003780233001,1,,33010000131445332,33010000131499705
9022003780233001,9022003780233001,1,,33010000131445650,33010000131501157
9022003780233001,9022003780233001,1,,33010000131444532,33010000131499559
9022003780233001,9022003780233001,1,,33010000131444851,33010000131499632
9022003780233001,9022003780233001,1,,33010000131445014,33010000131500719
9022003780233001,9022003780233001,1,,33010000131445226,33010000131499997
9022003780233001,9022003780233001,1,,33010000131445279,33010000131500070
9022003780233001,9022003780233001,1,,33010000131445438,33010000131500865
9022003780376002,9022003780376002,1,,33010000131657702,33010000126779288
9022003780376002,9022003780376002,1,,33010000131657750,33010000126779368
9022003780376002,9022003780376002,1,,33010000131658028,33010000131458127
9022003781210008,9022003781210001,1,,33010000131442075,33010000131171829
9022003781210008,9022003781210007,1,,33010000131442075,33010000131304409
9022003781210008,9022003781210007,1,,33010000131442075,33010000133235672
9022003781210008,9022003781210001,1,,33010000131442101,33010000131170881
9022003781210008,9022003781210001,1,,33010000131442205,33010000131171118
9022003781210008,9022003781210007,1,,33010000131442205,33010000133234397
9022003781210008,9022003781210001,1,,33010000131442179,33010000131171039
9022003781210008,9022003781210007,1,,33010000131442179,33010000133234577
9022003781210008,9022003781210007,1,,33010000131442179,33010000133257177
9022003781210008,9022003781210001,1,,33010000131442127,33010000131170960
9022003781210008,9022003781210001,1,,33010000131440998,33010000131171118
9022003781210008,9022003781210007,1,,33010000131440998,33010000133234397
9022003781210008,9022003781210001,1,,33010000131440979,33010000131171829
9022003781210008,9022003781210007,1,,33010000131440979,33010000131304409
9022003781210008,9022003781210007,1,,33010000131440979,33010000133235672
9022003781210008,9022003781210001,1,,33010000131441042,33010000131171039
9022003781210008,9022003781210007,1,,33010000131441042,33010000133234577
9022003781210008,9022003781210007,1,,33010000131441042,33010000133257177
9022003781210008,9022003781210001,1,,33010000131440960,33010000131170881
9022003781210008,9022003781210007,1,,33010000131439210,33010000133246548
9022003781210008,9022003781210001,1,,33010000131439066,33010000131171829
9022003781210008,9022003781210007,1,,33010000131439066,33010000131304409
9022003781210008,9022003781210001,1,,33010000131439102,33010000131170960
9022003781210008,9022003781210001,1,,33010000131439156,33010000131171118
9022003781210008,9022003781210007,1,,33010000131439156,33010000133234397
9022003781210008,9022003781210001,1,,33010000131439192,33010000131171434
9022003781210008,9022003781210007,1,,33010000131439264,33010000133246028
9022003781210008,9022003781210007,1,,33010000131439282,33010000131309710
9022003781210008,9022003781210007,1,,33010000131439246,33010000133246288
9022003781210008,9022003781210007,1,,33010000131439318,33010000131309908
9022003781210008,9022003781210001,1,,33010000131439084,33010000131170881
9022003781210008,9022003781210001,1,,33010000131439138,33010000131171039
9022003781210008,9022003781210007,1,,33010000131439138,33010000133234577
9022003781210008,9022003781210007,1,,33010000131439138,33010000133257177
9022003781210008,9022003781210007,1,,33010000131439228,33010000133247588
9022003781210005,9022003781210007,1,,33010000131433836,33010000133234007
9022003781210005,9022003781210001,1,,33010000131433894,33010000131170960
9022003781210005,9022003781210007,1,,33010000131433946,33010000133256056
9022003781210005,9022003781210007,1,,33010000131433585,33010000131308918
9022003781210005,9022003781210007,1,,33010000131433585,33010000133246678
9022003781210005,9022003781210007,1,,33010000131433663,33010000133256396
9022003781210005,9022003781210007,1,,33010000131433920,33010000133255801
9022003793035002,9022003793035002,1,,33010000133281495,33010000131188287
9022003793051002,9022003793051001,1,,33010000133281495,33010000131188287
9022003793051002,9022003793051001,1,,33010000133281495,33010000133191602
9022003793035002,9022003793035001,1,,33010000133281831,33010000133193886
9022003793035002,9022003793035001,1,,33010000133282459,33010000133196282
9022003793035002,9022003793035002,1,,33010000133281666,33010000131187061
9022003793051002,9022003793051001,1,,33010000133281666,33010000131187061
9022003793051002,9022003793051001,1,,33010000133281666,33010000133195990
