edge_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,record_count,scheduled,abs_median_deviation,relative_deviation_factor,flow
9022003780674/9022003779173,Drälinge (Uppsala),Lund (Björklinge) (Uppsala),59.991852,17.568161,59.992716,17.557866,17,79,7,0.868,0.6707272727272727
9022003760633/9022003760247,Korsbo vägskäl (Tierp),Munga skola (Tierp),60.298988,17.413391,60.306861,17.414157,19,212,-49,0.776,0.6701818181818182
9022003780479/9022003780485,Järlåsa skola (Uppsala),Knutbo (Järlåsa) (Uppsala),59.887805,17.200332,59.891149,17.164581,29,156,150,0.508,0.6696363636363636
9022003782512/9022003782166,Alunda Gjuteri (Östhammar),Spångby (Östhammar),60.081033,18.090204,60.093903,18.08428,16,126,11,0.92,0.6690909090909092
9022003782081/9022003782116,Maskinuthyrningen (Forsmark) (Östhammar),Forsmarks kraftverk 3 (Östhammar),60.380448,18.155995,60.407806,18.160092,18,438,-98,0.817,0.6684545454545454
9022003782179/9022003782079,Aspdal (Östhammar),Vasängen (Östhammar),60.119146,18.05792,60.133242,18.026609,16,194,-8,0.919,0.6683636363636364
9022003782251/9022003782253,Pensionärshemmet (Harg) (Östhammar),Tegelbruket (Harg) (Östhammar),60.175357,18.40366,60.175545,18.417428,16,45,-4,0.918,0.6676363636363637
9022003780732/9022003779545,Häggeby (Björklinge) (Uppsala),Björklinge Blå vägen,60.023399,17.536942,60.024218,17.536752,19,17,-5,0.773,0.6675909090909091
9022003779416/9022003779623,Sunnersbol skolhållplats,Stavby Jönningevägen,59.984223,17.941985,60.02685,17.984585,16,430,-22,0.917,0.666909090909091
9022003760431/9022003760268,Gällbo skolhållplats,Vidväg västra (Tierp),60.467363,17.679935,60.467878,17.717004,17,158,-25,0.863,0.6668636363636363
9022003782465/9022003782075,Öregrunds skola (Östhammar),Hamntorget (Öregrund) (Östhammar),60.333197,18.440217,60.338819,18.442011,20,192,72,0.733,0.6663636363636364
