edge_id,source_id,sink_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,Record Count,delay,delay / travel time
9022003793061/9022003793060,9022003793061,9022003793060,Österunda vägskäl (Heby),Björnlund (Heby),59.898404,17.094689,59.896626,17.11122,819,1,0.023809523809523808
9022003793063/9022003793064,9022003793063,9022003793064,Brunnsätra vägskäl (Vittinge) (Heby),Vittinge (Heby),59.901837,17.080455,59.903535,17.062541,819,-44,-0.4782608695652174
9022003793071/9022003793078,9022003793071,9022003793078,Grimle vägskäl (Heby),Näset (Morgongåva) (Heby),59.917245,17.003417,59.924899,16.983825,819,17,0.3090909090909091
9022003793073/9022003793067,9022003793073,9022003793067,Håkansbo vägskäl (Heby),Ingesbo (Heby),59.917312,17.021691,59.910311,17.033161,819,3,0.06666666666666667
9022003793085/9022003793086,9022003793085,9022003793086,Visbo vägskäl (Heby),Snesholm (Morgongåva) (Heby),59.936577,16.905887,59.936144,16.938018,819,9,0.125
9022003780487/9022003793006,9022003780487,9022003793006,Stjärnhult (Järlåsa) (Uppsala),Skärsjön (Uppsala),59.893913,17.14279,59.894686,17.134692,819,1,0.0625
9022003793086/9022003793034,9022003793086,9022003793034,Snesholm (Morgongåva) (Heby),Morgongåva station,59.936144,16.938018,59.933013,16.960663,819,-6,-0.04195804195804196
9022003793061/9022003793063,9022003793061,9022003793063,Österunda vägskäl (Heby),Brunnsätra vägskäl (Vittinge) (Heby),59.898404,17.094689,59.901837,17.080455,819,4,0.09090909090909091
9022003793078/9022003793034,9022003793078,9022003793034,Näset (Morgongåva) (Heby),Morgongåva station,59.924899,16.983825,59.933013,16.960663,819,-53,-0.3193717277486911
9022003793060/9022003793061,9022003793060,9022003793061,Björnlund (Heby),Österunda vägskäl (Heby),59.896626,17.11122,59.898404,17.094689,819,6,0.16666666666666666
9022003793067/9022003793073,9022003793067,9022003793073,Ingesbo (Heby),Håkansbo vägskäl (Heby),59.910311,17.033161,59.917312,17.021691,819,0,0
9022003793071/9022003793073,9022003793071,9022003793073,Grimle vägskäl (Heby),Håkansbo vägskäl (Heby),59.917245,17.003417,59.917312,17.021691,819,8,0.16363636363636364
9022003793065/9022003793067,9022003793065,9022003793067,Valls väg (Vittinge) (Heby),Ingesbo (Heby),59.904684,17.054113,59.910311,17.033161,819,20,0.36363636363636365
9022003780474/9022003780028,9022003780474,9022003780028,Järlåsa station (Uppsala),Järlåsa brandstation (Uppsala),59.885932,17.199146,59.886831,17.193968,819,14,0.4
9022003793064/9022003793063,9022003793064,9022003793063,Vittinge (Heby),Brunnsätra vägskäl (Vittinge) (Heby),59.903535,17.062541,59.901837,17.080455,819,8,0.12698412698412698
9022003793063/9022003793061,9022003793063,9022003793061,Brunnsätra vägskäl (Vittinge) (Heby),Österunda vägskäl (Heby),59.901837,17.080455,59.898404,17.094689,819,5,0.1282051282051282
9022003780466/9022003780469,9022003780466,9022003780469,Kölva vägskäl (Uppsala),Modare (Järlåsa) (Uppsala),59.878802,17.271353,59.880395,17.249028,819,-13,-0.18055555555555555
9022003793006/9022003793137,9022003793006,9022003793137,Skärsjön (Uppsala),Rosenbacka (Heby),59.894686,17.134692,59.895504,17.12295,819,6,0.2
9022003793034/9022003793081,9022003793034,9022003793081,Morgongåva station,Hårsbäck vägskäl (Morgongåva) (Heby),59.933013,16.960663,59.933097,16.957142,819,20,0.3958333333333333
9022003793064/9022003793065,9022003793064,9022003793065,Vittinge (Heby),Valls väg (Vittinge) (Heby),59.903535,17.062541,59.904684,17.054113,819,12,0.34210526315789475
9022003780486/9022003780485,9022003780486,9022003780485,Peterslund (Järlåsa) (Uppsala),Knutbo (Järlåsa) (Uppsala),59.892912,17.153809,59.891149,17.164581,819,10,0.39285714285714285
9022003793060/9022003793137,9022003793060,9022003793137,Björnlund (Heby),Rosenbacka (Heby),59.896626,17.11122,59.895504,17.12295,819,2,0.06896551724137931
9022003780711/9022003780716,9022003780711,9022003780716,Vattholma Kolbotten,Vattholma Bruksförvaltningen,60.010281,17.731671,60.014645,17.732875,814,4,0.1111111111111111
9022003780716/9022003780723,9022003780716,9022003780723,Vattholma Bruksförvaltningen,Vattholma Granbommen,60.014645,17.732875,60.016948,17.73378,814,9,0.2857142857142857
9022003793082/9022003793085,9022003793082,9022003793085,Värdshuset (Heby),Visbo vägskäl (Heby),59.936067,16.868556,59.936577,16.905887,813,-23,-0.14935064935064934
9022003793085/9022003793082,9022003793085,9022003793082,Visbo vägskäl (Heby),Värdshuset (Heby),59.936577,16.905887,59.936067,16.868556,813,-17,-0.13675213675213677
